added_lines	deleted_lines	path
8	1	AGENTS.md
70	0	CHANGELOG.md
68	58	CONTRIBUTING.md
31	21	README.md
42	109	RELEASE_NOTES.md
9	6	SECURITY.md
12	16	androidApp/build.gradle.kts
1	0	androidApp/src/main/assets/board_map/boards.geojson
132	0	androidApp/src/main/assets/board_map/boards.meta.json
17826	0	androidApp/src/main/assets/board_map/cities.json
9	1	androidApp/src/main/java/com/cruxcoach/android/CruxCoachApp.kt
6	3	androidApp/src/main/java/com/cruxcoach/android/MainActivity.kt
19	1	androidApp/src/main/java/com/cruxcoach/android/ble/SessionCommandGate.kt
45	27	androidApp/src/main/java/com/cruxcoach/android/data/ApkDownloader.kt
18	8	androidApp/src/main/java/com/cruxcoach/android/data/AuroraBoardSelector.kt
16	8	androidApp/src/main/java/com/cruxcoach/android/data/AuroraCatalogueSync.kt
67	0	androidApp/src/main/java/com/cruxcoach/android/data/BoardBetaMediaSync.kt
10	0	androidApp/src/main/java/com/cruxcoach/android/data/BoardConstants.kt
591	88	androidApp/src/main/java/com/cruxcoach/android/data/BoardDatabaseImporter.kt
8	0	androidApp/src/main/java/com/cruxcoach/android/data/BoardDownloadSelection.kt
75	0	androidApp/src/main/java/com/cruxcoach/android/data/BoardImportIndexes.kt
23	0	androidApp/src/main/java/com/cruxcoach/android/data/BoardImportRetry.kt
229	171	androidApp/src/main/java/com/cruxcoach/android/data/BoardSyncManager.kt
8	0	androidApp/src/main/java/com/cruxcoach/android/data/LocalShareSchema.kt
78	0	androidApp/src/main/java/com/cruxcoach/android/data/MoonBoardBetaSync.kt
14	6	androidApp/src/main/java/com/cruxcoach/android/data/MoonBoardCatalogueSync.kt
23	11	androidApp/src/main/java/com/cruxcoach/android/data/QuantumCatalogueSync.kt
7	0	androidApp/src/main/java/com/cruxcoach/android/data/SessionGattBridge.kt
66	6	androidApp/src/main/java/com/cruxcoach/android/data/UserPreferences.kt
1	0	androidApp/src/main/java/com/cruxcoach/android/data/blossom/BlossomManifest.kt
114	11	androidApp/src/main/java/com/cruxcoach/android/data/blossom/BlossomSyncManager.kt
36	9	androidApp/src/main/java/com/cruxcoach/android/data/kilter/KilterApiClient.kt
149	124	androidApp/src/main/java/com/cruxcoach/android/data/kilter/KilterSyncEngine.kt
76	0	androidApp/src/main/java/com/cruxcoach/android/data/kilter/KilterUploadStatus.kt
18	0	androidApp/src/main/java/com/cruxcoach/android/data/kilter/KilterUploadStatusLocalize.kt
22	2	androidApp/src/main/java/com/cruxcoach/android/di/AppModule.kt
11	15	androidApp/src/main/java/com/cruxcoach/android/nostr/NostrRelayPool.kt
55	0	androidApp/src/main/java/com/cruxcoach/android/nostr/RelayInputGuard.kt
5	2	androidApp/src/main/java/com/cruxcoach/android/nostr/backup/BackupPreferences.kt
13	35	androidApp/src/main/java/com/cruxcoach/android/nostr/backup/BackupRepository.kt
4	15	androidApp/src/main/java/com/cruxcoach/android/nostr/backup/BlossomUploader.kt
7	2	androidApp/src/main/java/com/cruxcoach/android/notification/BoardSyncWorker.kt
4	19	androidApp/src/main/java/com/cruxcoach/android/ui/aurora/AuroraMigrationScreen.kt
8	2	androidApp/src/main/java/com/cruxcoach/android/ui/board/AddToListViewModel.kt
9	1	androidApp/src/main/java/com/cruxcoach/android/ui/board/AscentLogger.kt
189	62	androidApp/src/main/java/com/cruxcoach/android/ui/board/AscentLoggingDialog.kt
55	0	androidApp/src/main/java/com/cruxcoach/android/ui/board/BetaThumbnailRequest.kt
17	0	androidApp/src/main/java/com/cruxcoach/android/ui/board/BetaThumbnailUrls.kt
217	0	androidApp/src/main/java/com/cruxcoach/android/ui/board/BetaVideoSection.kt
4	3	androidApp/src/main/java/com/cruxcoach/android/ui/board/BleConnectionSheet.kt
2	2	androidApp/src/main/java/com/cruxcoach/android/ui/board/BleConnectionViewModel.kt
62	0	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardBrowserAngleSheet.kt
192	0	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardBrowserHeader.kt
86	93	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardBrowserScreen.kt
179	172	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardBrowserViewModel.kt
238	124	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardClimbDetailScreen.kt
78	16	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardClimbDetailViewModel.kt
5	4	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardDeliveryPolicy.kt
134	563	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardFilterScreen.kt
15	1	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardListsScreen.kt
6	2	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardLogbookCards.kt
11	6	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardLogbookCharts.kt
157	5	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardLogbookScreen.kt
59	1	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardLogbookViewModel.kt
38	10	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardPreview.kt
33	17	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardStatsCharts.kt
70	32	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardStatsComputer.kt
6	5	androidApp/src/main/java/com/cruxcoach/android/ui/board/BoardStatsModels.kt
